,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
298235,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence_below_ema21,2,1.87,20.223,11/09/2020 23:30,1599866999999,19.734,1599870599999,1,2.0,1,3
320856,ONTUSDT_15m_orders.xlsx,ONTUSDT,15m,bearish_divergence_below_ema21,2,3.62,0.8442,12/09/2020 00:15,1599869699999,0.8266,1599886799999,1,2.0,1,3
328303,QTUMUSDT_15m_orders.xlsx,QTUMUSDT,15m,bearish_divergence_below_ema21,2,1.66,2.78,12/09/2020 00:15,1599869699999,2.848,1599869699999,0,-1.66,1,4
373185,SNXUSDT_15m_orders.xlsx,SNXUSDT,15m,bearish_divergence_below_ema21,2,1.8,5.895,12/09/2020 00:15,1599869699999,6.021,1599869699999,0,-1.8,1,5
312936,OMGUSDT_15m_orders.xlsx,OMGUSDT,15m,bearish_divergence_below_ema21,2,1.68,3.873,12/09/2020 06:15,1599891299999,3.7643,1599918299999,1,2.0,1,1
328305,QTUMUSDT_15m_orders.xlsx,QTUMUSDT,15m,bearish_divergence_below_ema21,2,3.67,2.834,12/09/2020 08:15,1599898499999,2.772,1599915599999,1,2.0,1,2
226351,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence_below_ema21,2,2.99,0.007751,12/09/2020 08:45,1599900299999,0.007585,1599910199999,1,2.0,1,3
413068,TRBUSDT_15m_orders.xlsx,TRBUSDT,15m,bearish_divergence_below_ema21,2,5.83,41.434,12/09/2020 12:15,1599912899999,40.268,1599915599999,1,2.0,1,3
435248,WAVESUSDT_15m_orders.xlsx,WAVESUSDT,15m,bearish_divergence_below_ema21,2,2.92,2.5795,12/09/2020 12:15,1599912899999,2.6652,1599976799999,0,-2.92,1,4
86192,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence_below_ema21,2,3.8,26.817,12/09/2020 12:45,1599914699999,27.989,1599943499999,0,-3.8,1,5
342364,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence_below_ema21,2,3.59,1.1562,12/09/2020 13:45,1599918299999,1.2,1599928199999,0,-3.59,1,4
463049,YFIUSDT_15m_orders.xlsx,YFIUSDT,15m,bearish_divergence_below_ema21,2,8.75,38325.0,12/09/2020 13:45,1599918299999,42640.1,1599938099999,0,-8.75,1,5
298238,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence_below_ema21,2,2.62,21.033,12/09/2020 17:30,1599931799999,21.737,1599947099999,0,-2.62,1,4
122887,CRVUSDT_15m_orders.xlsx,CRVUSDT,15m,bearish_divergence_below_ema21,2,4.09,2.064,12/09/2020 21:00,1599944399999,2.019,1599944399999,1,2.0,1,1
342367,RLCUSDT_15m_orders.xlsx,RLCUSDT,15m,bearish_divergence_below_ema21,2,1.88,1.1869,12/09/2020 21:00,1599944399999,1.1631,1599963299999,1,2.0,1,2
382538,SRMUSDT_15m_orders.xlsx,SRMUSDT,15m,bearish_divergence_below_ema21,2,3.78,2.3953,12/09/2020 21:00,1599944399999,2.325,1599956099999,1,2.0,1,3
142378,DEFIUSDT_15m_orders.xlsx,DEFIUSDT,15m,bearish_divergence_below_ema21,2,2.51,863.5,12/09/2020 22:15,1599948899999,891.4,1599955199999,0,-2.51,1,3
298240,NEOUSDT_15m_orders.xlsx,NEOUSDT,15m,bearish_divergence_below_ema21,2,1.69,21.444,13/09/2020 00:15,1599956099999,21.97,1599971399999,0,-1.69,1,3
