,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
240312,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence_below_rsi40,2,4.22,2.481,20/05/2022 14:30,1653056999999,2.38,1653063299999,1,2.0,-1,-1
244247,KLAYUSDT_15m_orders.xlsx,KLAYUSDT,15m,bearish_divergence_below_rsi40,2,3.71,0.4358,20/05/2022 14:30,1653056999999,0.4239,1653059699999,1,2.0,-1,-1
318015,ONEUSDT_15m_orders.xlsx,ONEUSDT,15m,bearish_divergence_below_rsi40,2,4.8,0.04697,20/05/2022 14:30,1653056999999,0.04543,1653059699999,1,2.0,-1,-1
326702,PEOPLEUSDT_15m_orders.xlsx,PEOPLEUSDT,15m,bearish_divergence_below_rsi40,2,7.5,0.0185,20/05/2022 14:30,1653056999999,0.0181,1653057899999,1,2.0,-1,-1
361348,SANDUSDT_15m_orders.xlsx,SANDUSDT,15m,bearish_divergence_below_rsi40,2,5.56,1.3068,20/05/2022 14:30,1653056999999,1.2708,1653059699999,1,2.0,-1,-1
458879,XTZUSDT_15m_orders.xlsx,XTZUSDT,15m,bearish_divergence_below_rsi40,2,3.67,1.733,20/05/2022 14:30,1653056999999,1.698,1653060599999,1,2.0,-1,-1
87000,BNBUSDT_15m_orders.xlsx,BNBUSDT,15m,bearish_divergence_below_rsi40,2,3.13,306.5,20/05/2022 14:45,1653057899999,300.02,1653059699999,1,2.0,-1,-1
41722,ATOMUSDT_15m_orders.xlsx,ATOMUSDT,15m,bearish_divergence_below_rsi40,2,6.14,11.443,20/05/2022 15:15,1653059699999,11.152,1653060599999,1,2.0,-1,-1
426862,UNIUSDT_15m_orders.xlsx,UNIUSDT,15m,bearish_divergence_below_rsi40,2,5.07,5.244,20/05/2022 15:30,1653060599999,5.109,1653064199999,1,2.0,-1,-1
481575,ZRXUSDT_15m_orders.xlsx,ZRXUSDT,15m,bearish_divergence_below_rsi40,2,9.08,0.4404,20/05/2022 15:30,1653060599999,0.4274,1653063299999,1,2.0,-1,-1
136569,DARUSDT_15m_orders.xlsx,DARUSDT,15m,bearish_divergence_below_rsi40,2,8.39,0.4936,21/05/2022 11:15,1653131699999,0.5427,1653148799999,0,-8.39,1,1
267077,LPTUSDT_15m_orders.xlsx,LPTUSDT,15m,bearish_divergence_below_rsi40,2,4.61,15.009,21/05/2022 11:30,1653132599999,14.538,1653187499999,1,2.0,1,2
202044,GALUSDT_15m_orders.xlsx,GALUSDT,15m,bearish_divergence_below_rsi40,2,6.3,5.7799,21/05/2022 12:30,1653136199999,6.19,1653154199999,0,-6.3,1,3
366704,SFPUSDT_15m_orders.xlsx,SFPUSDT,15m,bearish_divergence_below_rsi40,2,7.25,0.4018,21/05/2022 19:30,1653161399999,0.4362,1653290999999,0,-7.25,1,1
203025,GMTUSDT_15m_orders.xlsx,GMTUSDT,15m,bearish_divergence_below_rsi40,2,7.36,1.3339,21/05/2022 22:00,1653170399999,1.4563,1653232499999,0,-7.36,1,2
338885,RENUSDT_15m_orders.xlsx,RENUSDT,15m,bearish_divergence_below_rsi40,2,4.07,0.1437,21/05/2022 22:00,1653170399999,0.1499,1653209099999,0,-4.07,1,3
449107,XMRUSDT_15m_orders.xlsx,XMRUSDT,15m,bearish_divergence_below_rsi40,2,2.96,175.66,22/05/2022 00:00,1653177599999,181.35,1653223499999,0,-2.96,1,4
127785,CTKUSDT_15m_orders.xlsx,CTKUSDT,15m,bearish_divergence_below_rsi40,2,2.77,0.8351,22/05/2022 02:30,1653186599999,0.818,1653208199999,1,2.0,1,5
240315,KAVAUSDT_15m_orders.xlsx,KAVAUSDT,15m,bearish_divergence_below_rsi40,2,4.9,2.7383,22/05/2022 02:30,1653186599999,2.6733,1653236099999,1,2.0,1,6
335749,REEFUSDT_15m_orders.xlsx,REEFUSDT,15m,bearish_divergence_below_rsi40,2,4.72,0.004382,22/05/2022 02:45,1653187499999,0.004635,1653212699999,0,-4.72,1,7
31022,ANTUSDT_15m_orders.xlsx,ANTUSDT,15m,bearish_divergence_below_rsi40,2,7.35,2.016,22/05/2022 04:00,1653191999999,1.956,1653219899999,1,2.0,1,8
112416,CHZUSDT_15m_orders.xlsx,CHZUSDT,15m,bearish_divergence_below_rsi40,2,3.14,0.1192,22/05/2022 04:30,1653193799999,0.12322,1653209099999,0,-3.14,1,9
395042,SUSHIUSDT_15m_orders.xlsx,SUSHIUSDT,15m,bearish_divergence_below_rsi40,2,6.65,1.417,22/05/2022 04:30,1653193799999,1.524,1653268499999,0,-6.65,1,10
133246,CVCUSDT_15m_orders.xlsx,CVCUSDT,15m,bearish_divergence_below_rsi40,2,3.14,0.18136,22/05/2022 05:00,1653195599999,0.18792,1653210899999,0,-3.14,0,-1
150238,DGBUSDT_15m_orders.xlsx,DGBUSDT,15m,bearish_divergence_below_rsi40,2,4.97,0.01204,22/05/2022 05:00,1653195599999,0.01284,1653212699999,0,-4.97,0,-1
164164,EGLDUSDT_15m_orders.xlsx,EGLDUSDT,15m,bearish_divergence_below_rsi40,2,2.45,90.47,22/05/2022 05:00,1653195599999,92.9,1653212699999,0,-2.45,0,-1
251402,KSMUSDT_15m_orders.xlsx,KSMUSDT,15m,bearish_divergence_below_rsi40,2,3.38,79.21,22/05/2022 05:00,1653195599999,81.99,1653212699999,0,-3.38,0,-1
476942,ZILUSDT_15m_orders.xlsx,ZILUSDT,15m,bearish_divergence_below_rsi40,2,4.52,0.05108,22/05/2022 05:00,1653195599999,0.05439,1653203699999,0,-4.52,0,-1
208015,GTCUSDT_15m_orders.xlsx,GTCUSDT,15m,bearish_divergence_below_rsi40,2,6.52,2.855,22/05/2022 08:30,1653208199999,2.783,1653219899999,1,2.0,0,-1
161608,DYDXUSDT_15m_orders.xlsx,DYDXUSDT,15m,bearish_divergence_below_rsi40,2,5.67,2.179,22/05/2022 11:00,1653217199999,2.134,1653219899999,1,2.0,-1,-1
46345,AUDIOUSDT_15m_orders.xlsx,AUDIOUSDT,15m,bearish_divergence_below_rsi40,2,5.64,0.4538,22/05/2022 15:30,1653233399999,0.4442,1653236099999,1,2.0,-1,-1
53049,AXSUSDT_15m_orders.xlsx,AXSUSDT,15m,bearish_divergence_below_rsi40,2,3.03,21.1,22/05/2022 15:30,1653233399999,21.82,1653262199999,0,-3.03,-1,-1
102111,C98USDT_15m_orders.xlsx,C98USDT,15m,bearish_divergence_below_rsi40,2,6.54,0.5747,22/05/2022 15:30,1653233399999,0.619,1653237899999,0,-6.54,-1,-1
210610,HBARUSDT_15m_orders.xlsx,HBARUSDT,15m,bearish_divergence_below_rsi40,2,2.35,0.10253,22/05/2022 15:30,1653233399999,0.10503,1653264899999,0,-2.35,-1,-1
220822,ICXUSDT_15m_orders.xlsx,ICXUSDT,15m,bearish_divergence_below_rsi40,2,5.04,0.3805,22/05/2022 15:30,1653233399999,0.4027,1653288299999,0,-5.04,-1,-1
251405,KSMUSDT_15m_orders.xlsx,KSMUSDT,15m,bearish_divergence_below_rsi40,2,3.47,79.37,22/05/2022 15:30,1653233399999,82.42,1653289199999,0,-3.47,-1,-1
294678,NEARUSDT_15m_orders.xlsx,NEARUSDT,15m,bearish_divergence_below_rsi40,2,3.93,6.131,22/05/2022 15:30,1653233399999,6.398,1653265799999,0,-3.93,-1,-1
329037,QTUMUSDT_15m_orders.xlsx,QTUMUSDT,15m,bearish_divergence_below_rsi40,2,3.13,3.993,22/05/2022 15:30,1653233399999,4.138,1653258599999,0,-3.13,-1,-1
361351,SANDUSDT_15m_orders.xlsx,SANDUSDT,15m,bearish_divergence_below_rsi40,2,4.46,1.3341,22/05/2022 15:30,1653233399999,1.4019,1653261299999,0,-4.46,-1,-1
407659,TLMUSDT_15m_orders.xlsx,TLMUSDT,15m,bearish_divergence_below_rsi40,2,9.93,0.039,22/05/2022 15:30,1653233399999,0.0382,1653281999999,1,2.0,-1,-1
28244,ANKRUSDT_15m_orders.xlsx,ANKRUSDT,15m,bearish_divergence_below_rsi40,2,6.12,0.03941,22/05/2022 16:15,1653236099999,0.04214,1653291899999,0,-6.12,-1,-1
147714,DENTUSDT_15m_orders.xlsx,DENTUSDT,15m,bearish_divergence_below_rsi40,2,5.1,0.001061,22/05/2022 16:15,1653236099999,0.001121,1653263099999,0,-5.1,-1,-1
190225,FLMUSDT_15m_orders.xlsx,FLMUSDT,15m,bearish_divergence_below_rsi40,2,4.77,0.0979,22/05/2022 16:15,1653236099999,0.1029,1653265799999,0,-4.77,-1,-1
321769,ONTUSDT_15m_orders.xlsx,ONTUSDT,15m,bearish_divergence_below_rsi40,2,4.31,0.2776,22/05/2022 16:15,1653236099999,0.2947,1653264899999,0,-4.31,-1,-1
338890,RENUSDT_15m_orders.xlsx,RENUSDT,15m,bearish_divergence_below_rsi40,2,5.75,0.1491,22/05/2022 16:15,1653236099999,0.159,1653288299999,0,-5.75,-1,-1
409575,TOMOUSDT_15m_orders.xlsx,TOMOUSDT,15m,bearish_divergence_below_rsi40,2,5.06,0.5632,22/05/2022 16:15,1653236099999,0.5944,1653265799999,0,-5.06,-1,-1
438972,WOOUSDT_15m_orders.xlsx,WOOUSDT,15m,bearish_divergence_below_rsi40,2,3.87,0.20044,22/05/2022 16:15,1653236099999,0.20891,1653261299999,0,-3.87,-1,-1
99603,BTSUSDT_15m_orders.xlsx,BTSUSDT,15m,bearish_divergence_below_rsi40,2,2.78,0.01294,22/05/2022 20:00,1653249599999,0.01342,1653290999999,0,-2.78,1,1
418837,TRXUSDT_15m_orders.xlsx,TRXUSDT,15m,bearish_divergence_below_rsi40,2,2.55,0.07689,23/05/2022 01:45,1653270299999,0.07975,1653325199999,0,-2.55,1,2
150241,DGBUSDT_15m_orders.xlsx,DGBUSDT,15m,bearish_divergence_below_rsi40,2,3.91,0.01254,23/05/2022 02:15,1653272099999,0.01309,1653288299999,0,-3.91,1,3
