,Source.Name,trade_symbol,trade_interval,strategy,takeprofit,stoploss,entry_price,UTC_entry time,entry_time,close_price,close_time,win,win_percentage,action,position_count
123365,CRVUSDT_15m_orders.xlsx,CRVUSDT,15m,bearish_divergence_1-3,2,1.48,2.325,13/08/2021 21:45,1628891099999,2.38,1628895599999,0,-1.48,1,2
349409,RSRUSDT_15m_orders.xlsx,RSRUSDT,15m,bearish_divergence_1-3,2,2.03,0.041636,13/08/2021 22:15,1628892899999,0.042576,1628899199999,0,-2.03,1,3
217554,HOTUSDT_15m_orders.xlsx,HOTUSDT,15m,bearish_divergence_1-3,2,3.61,0.012081,14/08/2021 00:15,1628900099999,0.011817,1628902799999,1,2.0,1,2
119737,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence_1-3,2,2.08,0.22462,14/08/2021 00:30,1628900999999,0.21991,1628902799999,1,2.0,1,2
258960,LINKUSDT_15m_orders.xlsx,LINKUSDT,15m,bearish_divergence_1-3,2,1.47,27.392,14/08/2021 01:00,1628902799999,27.83,1628904599999,0,-1.47,1,3
364061,SCUSDT_15m_orders.xlsx,SCUSDT,15m,bearish_divergence_1-3,2,2.09,0.018933,14/08/2021 01:45,1628905499999,0.0195,1628929799999,0,-2.09,1,1
378425,SOLUSDT_15m_orders.xlsx,SOLUSDT,15m,bearish_divergence_1-3,2,2.02,44.069,14/08/2021 01:45,1628905499999,43.105,1628935199999,1,2.0,1,2
481163,ZRXUSDT_15m_orders.xlsx,ZRXUSDT,15m,bearish_divergence_1-3,2,3.37,1.0636,14/08/2021 01:45,1628905499999,1.02,1628935199999,1,2.0,1,3
369723,SKLUSDT_15m_orders.xlsx,SKLUSDT,15m,bearish_divergence_1-3,2,3.16,0.32682,14/08/2021 08:45,1628930699999,0.31004,1628935199999,1,2.0,1,3
119740,COTIUSDT_15m_orders.xlsx,COTIUSDT,15m,bearish_divergence_1-3,2,2.59,0.22954,14/08/2021 09:00,1628931599999,0.21258,1628935199999,1,2.0,1,4
48672,AVAXUSDT_15m_orders.xlsx,AVAXUSDT,15m,bearish_divergence_1-3,2,4.82,17.571,14/08/2021 10:00,1628935199999,17.188,1628939699999,1,2.0,1,5
73622,BCHUSDT_15m_orders.xlsx,BCHUSDT,15m,bearish_divergence_1-3,2,1.86,658.7,14/08/2021 10:00,1628935199999,644.17,1628938799999,1,2.0,1,6
226771,IOSTUSDT_15m_orders.xlsx,IOSTUSDT,15m,bearish_divergence_1-3,2,4.4,0.030992,14/08/2021 10:00,1628935199999,0.030305,1628938799999,1,2.0,1,7
321325,ONTUSDT_15m_orders.xlsx,ONTUSDT,15m,bearish_divergence_1-3,2,4.38,1.0513,14/08/2021 10:00,1628935199999,1.0274,1628936999999,1,2.0,1,8
430836,VETUSDT_15m_orders.xlsx,VETUSDT,15m,bearish_divergence_1-3,2,4.76,0.12289,14/08/2021 10:00,1628935199999,0.1197,1628936999999,1,2.0,1,9
